Probe;Speed;EngineSpeed;Longitude;Latitude
100001.0;18.0;1414.4;9.2008067;45.4361167
100001.0;36.059999999999995;1955.8400000000001;9.2006017;45.4361017
100001.0;44.980000000000004;1856.0000000000005;9.1980917;45.4370917
100001.0;38.7;1352.32;9.1959733;45.4388817
100001.0;20.380000000000003;1397.1200000000001;9.1937567;45.4396367
100001.0;35.440000000000005;1850.2400000000002;9.19236;45.44057
100001.0;26.579999999999995;1640.3199999999997;9.1909817;45.4415617
100001.0;27.940000000000005;1448.32;9.190755;45.4430117
100001.0;13.040000000000001;1078.4;9.18917;45.4431967
100001.0;7.279999999999999;990.0800000000002;9.1881783;45.4431883
100001.0;0.0;784.0;9.1881767;45.4431633
100001.0;1.7;853.1200000000001;9.188155;45.443165
100001.0;26.459999999999997;1755.52;9.1879417;45.4431717
100001.0;49.94;1782.4;9.1877883;45.4451433
100001.0;16.36;1108.48;9.1869583;45.4474717
100001.0;23.5;1504.64;9.18667670000001;45.447895
100001.0;17.54;1130.24;9.1895217;45.4482583
100001.0;0.0;786.56;9.1895017;45.4483417
100001.0;2.2199999999999998;881.9199999999998;9.1895333;45.4482717
100001.0;7.18;913.2800000000001;9.1902733;45.4483533
100001.0;0.0;785.28;9.1902683;45.4484533
100001.0;0.0;795.5200000000001;9.190255;45.44848
100001.0;0.1;796.1600000000001;9.1902667;45.4484717
100001.0;13.320000000000002;1227.52;9.1906383;45.4484767
100001.0;23.219999999999995;1584.6399999999999;9.1905617;45.4499533
100001.0;1.86;798.72;9.1909333;45.449895
100001.0;1.56;839.04;9.1908367;45.4499633
100001.0;19.520000000000003;1309.44;9.19095;45.44997
100001.0;14.9;1092.48;9.1927733;45.4500717
100001.0;6.719999999999999;787.8400000000001;9.1931483;45.4496667
100001.0;0.0;787.2;9.1933067;45.4496767
100001.0;0.0;787.1999999999999;9.193115;45.4495617
100001.0;0.78;778.8799999999999;9.193155;45.4495733
100001.0;2.26;840.96;9.1932583;45.4495867
100001.0;9.08;853.7600000000002;9.1928467;45.4496783
100001.0;14.040000000000001;1395.8400000000001;9.1928383;45.45002
100001.0;12.620000000000001;1350.4;9.1932717;45.45078
100001.0;27.500000000000007;1619.1999999999998;9.1923617;45.4509883
100001.0;0.8800000000000001;860.8;9.1905983;45.4509767
100001.0;4.32;881.9200000000001;9.1903517;45.45091
100001.0;26.24;1554.56;9.190275;45.45073
100001.0;12.559999999999999;1184.0;9.1904717;45.4492417
100001.0;6.94;1115.52;9.1905517;45.4486533
100001.0;37.3;2045.4399999999998;9.190605;45.4481283
100001.0;3.56;888.96;9.1910133;45.4464017
100001.0;5.24;812.8;9.1909733;45.4462617
100001.0;1.38;790.4;9.1904767;45.4462633
100001.0;0.0;793.6;9.1904417;45.4462417
100001.0;4.42;1020.1600000000001;9.1904183;45.4462317
100001.0;7.24;919.04;9.1898267;45.4462267
100001.0;0.24000000000000005;795.5200000000002;9.1894983;45.446245
100001.0;0.0;790.3999999999999;9.18941;45.4462633
100001.0;6.880000000000001;968.32;9.1894767;45.4462733
100001.0;0.33999999999999997;792.32;9.1889133;45.4462367
100001.0;3.0799999999999996;855.68;9.1888817;45.4462133
100001.0;0.0;792.96;9.188685;45.4461567
100001.0;13.820000000000002;1466.8799999999999;9.1886733;45.4461433
100001.0;7.279999999999999;1072.6399999999999;9.1872833;45.4461533
100001.0;0.0;787.2;9.1872917;45.446125
100001.0;4.5;897.28;9.18729;45.4459017
100001.0;0.0;793.6;9.187365;45.4458983
100001.0;4.0;908.1600000000001;9.187455;45.445875
100001.0;35.84;1438.7199999999998;9.18763;45.4454183
100001.0;4.260000000000001;859.5200000000001;9.1878183;45.44367
100001.0;5.3;942.72;9.1878233;45.44337
100001.0;0.0;786.5600000000002;9.187845;45.4433717
100001.0;0.0;796.8;9.1878517;45.4433633
100001.0;2.74;884.4799999999999;9.1878317;45.4431867
100001.0;0.16;777.6;9.1878317;45.443235
100001.0;0.02;805.76;9.1878217;45.4432367
100001.0;0.8800000000000001;872.96;9.18784;45.443185
100001.0;15.180000000000001;1464.3200000000002;9.1879967;45.4430667
100001.0;21.1;1434.8799999999999;9.1893717;45.4431283
100001.0;15.76;1406.7199999999998;9.1907;45.4432233
100001.0;19.82;1781.1200000000001;9.1918383;45.44323
100001.0;18.499999999999996;1534.72;9.1936583;45.4433133
100001.0;7.7;933.1200000000001;9.1936267;45.4426667
100001.0;2.1399999999999997;813.44;9.1893117;45.4432283
100001.0;9.08;1144.9600000000003;9.18931;45.4432283
100001.0;1.92;810.24;9.1883517;45.44315
100001.0;0.1;800.6400000000001;9.1883117;45.4431217
100001.0;23.159999999999997;1692.8;9.1878383;45.4431217
100001.0;22.000000000000004;1315.2;9.1877317;45.444435
100001.0;0.04;788.4799999999999;9.1877383;45.4451083
100001.0;0.34;812.1600000000001;9.1877933;45.4450917
100001.0;10.440000000000001;1158.4;9.1877417;45.4451783
100001.0;39.7;1953.92;9.1877383;45.4459
100001.0;13.719999999999999;1198.7199999999998;9.18663;45.4478733
100001.0;29.920000000000005;2095.3599999999997;9.1858;45.4479617
100001.0;23.520000000000003;1490.56;9.1833917;45.4476933
100001.0;22.7;1542.4;9.1821083;45.4475917
100001.0;27.0;1905.2799999999995;9.18161;45.44888
100001.0;31.820000000000004;1734.4;9.1822117;45.4499333
100001.0;24.900000000000002;1376.64;9.1822017;45.451505
100001.0;13.339999999999998;1036.1599999999999;9.1806933;45.4525633
100001.0;1.56;897.9200000000001;9.1806833;45.452565
100001.0;7.24;991.36;9.1806167;45.4529433
100001.0;0.5;840.3199999999999;9.1806133;45.45294
100001.0;28.24;1880.3200000000002;9.1803967;45.4529517
100001.0;25.919999999999998;1640.9599999999998;9.1781983;45.4531967
100001.0;27.060000000000002;1537.28;9.1774583;45.45438
100001.0;24.82;1712.64;9.1772933;45.4555983
100001.0;15.859999999999996;1294.0800000000002;9.178245;45.455035
100001.0;20.220000000000002;1232.6399999999999;9.17759;45.4546283
100001.0;9.120000000000001;852.4800000000001;9.1776817;45.4578317
100001.0;6.1;1100.1599999999999;9.1776833;45.4578167
100001.0;10.52;1104.64;9.177905;45.45814
