GPSDate;Probe;Cycle;SpeedMean;EngineSpeedMean;TorqueMean;FuelRateMean
1.210737098E12;100001.0;1.0;0.0;793.6;17.7;10.439999999999998
1.21073762E12;100001.0;3.0;3.9679999999999995;889.984;19.11;10.7568
1.210737718E12;100001.0;3.0;17.598;1307.648;18.377999999999997;10.202399999999999
1.210737817E12;100001.0;3.0;33.178000000000004;1616.7039999999997;20.438;12.8176
1.210737918E12;100001.0;3.0;10.427999999999997;1047.1039999999998;16.108;7.475999999999998
1.210738018E12;100001.0;3.0;26.706000000000003;1457.8559999999998;19.650000000000002;11.659199999999997
1.210738117E12;100001.0;3.0;1.9820000000000002;832.3840000000002;14.484000000000002;5.526400000000003
1.210739197E12;100001.0;3.0;8.082;1052.6080000000004;17.484000000000005;8.4896
1.210739297E12;100001.0;4.0;8.158;949.6319999999995;16.27799999999999;6.797599999999996
1.210739398E12;100001.0;4.0;7.886000000000001;1043.52;17.116;7.7703999999999995
1.210739498E12;100001.0;4.0;13.959999999999997;1204.4800000000002;17.670000000000005;7.1624
1.210739597E12;100001.0;4.0;11.094;1146.7519999999997;17.131999999999994;9.644799999999998
1.210739698E12;100001.0;4.0;2.386;863.68;14.876;4.824
1.210739798E12;100001.0;4.0;4.45;952.8960000000001;15.475999999999994;6.0360000000000005
1.210739898E12;100001.0;4.0;3.6799999999999993;915.9679999999997;15.450000000000005;5.7208
1.210739999E12;100001.0;4.0;8.924;962.5600000000004;15.552000000000003;5.468800000000001
1.210740099E12;100001.0;4.0;3.958;966.8479999999997;16.534000000000006;6.628000000000001
1.210740539E12;100001.0;4.0;16.299999999999997;1414.2720000000002;20.126;11.151200000000001
1.210740642E12;100001.0;5.0;7.047999999999998;1036.8;16.603999999999996;7.235200000000003
1.210740742E12;100001.0;5.0;14.030000000000003;1197.184;17.894;8.7592
1.210740841E12;100001.0;5.0;24.047999999999988;1658.368;21.373999999999995;9.684000000000001
1.210740942E12;100001.0;5.0;15.89599999999999;1217.6000000000004;17.86;7.056000000000001
1.210741043E12;100001.0;5.0;21.01;1503.808;19.89399999999999;8.861599999999996
1.210741344E12;100001.0;6.0;18.79;1535.9360000000001;21.008000000000003;8.378399999999997
1.210741446E12;100001.0;6.0;7.484000000000002;1004.7360000000002;16.196000000000005;6.5072
1.210741547E12;100001.0;6.0;16.006;1255.68;18.253999999999998;7.183200000000003
1.210741739E12;100001.0;7.0;15.952000000000004;1143.5520000000001;18.657999999999994;9.955199999999998
1.21074184E12;100001.0;7.0;20.912;1429.4399999999994;19.808;8.388799999999996
1.210741941E12;100001.0;7.0;11.655999999999999;1122.7520000000004;16.635999999999992;7.155199999999999
1.21074204E12;100001.0;7.0;6.364;964.6080000000001;15.446000000000002;5.3984000000000005
1.21074214E12;100001.0;7.0;5.066;971.9039999999998;15.649999999999999;5.360000000000002
1.210742241E12;100001.0;7.0;8.924000000000001;1172.736;16.924;4.946399999999998
1.21074234E12;100001.0;7.0;6.11;1094.3360000000002;15.981999999999996;5.395199999999999
1.210742588E12;100001.0;7.0;5.919999999999999;991.7440000000001;16.908000000000005;4.8088000000000015
1.210742688E12;100001.0;8.0;6.502000000000001;985.5360000000001;16.7;6.808
1.210742938E12;100001.0;8.0;19.37;1477.6319999999998;19.024;9.720799999999997
1.210743059E12;100001.0;9.0;15.397999999999998;1297.088;18.51000000000001;8.951999999999998
1.21074316E12;100001.0;9.0;22.417999999999996;1537.4719999999998;18.499999999999996;8.2464
1.21074326E12;100001.0;9.0;19.810000000000006;1387.5840000000003;17.419999999999998;6.988799999999999
1.210743359E12;100001.0;9.0;17.627999999999997;1387.9679999999996;19.12;9.818399999999995
1.21074346E12;100001.0;9.0;21.807999999999996;1495.616;19.689999999999994;11.250399999999996
1.210743561E12;100001.0;9.0;5.06;950.5280000000001;15.786;4.8648
1.21074366E12;100001.0;9.0;8.15;1105.7279999999998;16.560000000000006;6.562399999999998
1.210743881E12;100001.0;9.0;2.6819999999999995;872.2559999999997;15.234000000000004;5.443199999999998
1.210743981E12;100001.0;9.0;22.611999999999995;1297.344;17.37;6.351200000000001
1.21074408E12;100001.0;9.0;13.005999999999997;1213.4399999999996;17.71;7.765599999999999
1.210744436E12;100001.0;9.0;16.981999999999992;1350.4640000000002;21.072000000000006;10.894399999999997
1.210744537E12;100001.0;10.0;24.401999999999994;1775.872;20.209999999999997;10.801599999999999
1.210744638E12;100001.0;10.0;7.209999999999999;1014.528;15.86;5.455999999999998
1.210744737E12;100001.0;10.0;8.347999999999997;1101.632;16.784000000000002;6.112
1.210744837E12;100001.0;10.0;6.837999999999999;994.0479999999998;16.89;9.050399999999998
1.210744938E12;100001.0;10.0;15.892000000000003;1218.6879999999999;18.385999999999996;8.619999999999997
1.210745038E12;100001.0;10.0;13.795999999999998;1284.1599999999999;17.805999999999997;8.372
1.210748282E12;100001.0;10.0;15.679999999999996;1349.5039999999997;19.927999999999994;8.3664
1.210748381E12;100001.0;11.0;26.215999999999994;1583.744;20.791999999999998;13.357599999999996
1.210748482E12;100001.0;11.0;24.618;1615.296;19.595999999999997;8.883200000000002
1.210748784E12;100001.0;11.0;17.03;1375.5520000000001;19.568000000000005;10.7952
1.210748885E12;100001.0;12.0;17.869999999999997;1354.3680000000004;18.534;8.935199999999998
1.210748985E12;100001.0;12.0;21.096;1484.8640000000007;19.360000000000007;9.3504
1.210749234E12;100001.0;13.0;11.388000000000002;1217.7920000000001;17.211999999999996;7.2784
1.210749537E12;100001.0;13.0;9.771999999999997;973.632;16.860000000000003;7.632
